SampleID	BRCA_status	HRD
DC203U0212-G1A7AF7XNF1-H015Y190Y190	Deficient	62
DC203U0219-G1A7AF7XNF1-H015Y190Y190	Deficient	55
DC203U0225-G1A7AF7XNF1-H015Y190	Deficient	64
DC203U0227-G1A7AF7XNF1-H015Y190	Deficient	69
DC203U0237-G1A7AF7XNF1-H015Y190	Deficient	80
DC203U0248-G1A7AF7XNF1-H015Y190	Intact	6
DC203U0249-G1A7AF7XNF1-H015Y190	Intact	3
DC203U0254-G1A7AF7XNF1-H015Y190	Intact	4
DC203U0259-G1A7AF7XNF1-H015Y190	Intact	6
DC203U0272-G1A7AF7XNF1-H015Y190	Intact	22
DC203U0284-G1A7AF7XNF1-H015Y190	Intact	38
DC203U0287-G1A7AF7XNF1-H015Y190	Intact	41
DC203U0289-G1A7AF7XNF1-H015Y190	Intact	27
DC203U0293-G1A7AF7XNF1-H015Y190	Intact	81
DC203U0294-G1A7AF7XNF1-H015Y190	Intact	68
DC203U0296-G1A7AF7XNF1-H015Y190	Intact	37
DC203U0297-G1A7AF7XNF1-H015Y190	Intact	53
DC203U0299-G1A7AF7XNF1-H015Y190	Intact	49
DC203U0300-G1A7AF7XNF1-H015Y190	Intact	47
DC203U0302-G1A7AF7XNF1-H015Y190	Intact	40
DC203U0305-G1A7AF7XNF1-H015Y190	Intact	51
DC203U0306-G1A7AF7XNF1-H015Y190	Intact	49
DC203U0311-G1A7AF7XNF1-H015Y190	Intact	42
DC203U0315-G1A7AF7XNF1-H015Y190	Intact	52
DC203U0320-G1A7AF7XNF1-H015Y190	Intact	26
DC203U0368-G1A7AF7XNF1-H015Y190	Intact	41
DC205D0402-G1A7AF8XNF1-H015Y190Y190	Intact	57
DC205D0403-G1A7AF8XNF1-H015Y190Y190	Intact	36
DC205D0404-G1A7AF8XNF1-H015Y190Y190	Intact	19
DC205D0405-G1A7AF8XNF1-H015Y190Y190	Intact	31
DC205D0406-G1A7AF8XNF1-H015Y190Y190	Deficient	63
DC205D0407-G1A7AF8XNF1-H015Y190Y190	Intact	8
DC205D0408-G1A7AF8XNF1-H015Y190Y190	Intact	15
DC205D0409-G1A7AF9XNF1-H015Y190Y190	Deficient	42
DC205D0410-G1A7AF8XNF1-H015Y190Y190	Intact	12
DC205D0411-G1A7AF8XNF1-H015Y190Y190	Intact	34
DC205D0412-G1A7AF8XNF1-H015Y190Y190	Intact	50
DC205D0413-G1A7AF8XNF1-H015Y190Y190	Intact	82
DC205D0414-G1A7AF8XNF1-H015Y190Y190	Intact	40
DC205D0415-G1A7AF9XNF1-H015Y190Y190	Intact	76
DC205D0416-G1A7AF8XNF1-H015Y190Y190	Intact	28
DC205D0417-G1A7AF9XNF1-H015Y190Y190	Intact	30
DC205D0418-G1A7AF8XNF1-H015Y190Y190	Deficient	45
DC205D0419-G1A7AF8XNF1-H015Y190Y190	Intact	27
DD203U0203-G1A7AF9XNF1-H015Y190Y190	Deficient	101
DD203U0205-G1A7AF9XNF1-H015Y190Y190	Deficient	70
DD203U0206-G1A7AF9XNF1-H015Y190Y190	Deficient	77
DD203U0207-G1A7AF9XNF1-H015Y190Y190	Deficient	63
DD203U0208-G1A7AF9XNF1-H015Y190Y190	Deficient	80
DD203U0209-G1A7AF9XNF1-H015Y190Y190	Deficient	71
DD203U0210-G1A7AF7XNF1-H015Y190Y190	Deficient	60
DD203U0211-G1A7AF9XNF1-H015Y190Y190	Deficient	80
DD203U0213-G1A7AF9XNF1-H015Y190Y190	Deficient	68
DD203U0214-G1A7AF9XNF1-H015Y190Y190	Deficient	82
DD203U0215-G1A7AF9XNF1-H015Y190Y190	Deficient	85
DD203U0216-G1A7AF9XNF1-H015Y190Y190	Deficient	58
DD203U0217-G1A7AF9XNF1-H015Y190Y190	Deficient	70
DD203U0218-G1A7AF9XNF1-H015Y190Y190	Deficient	58
DD203U0220-G1A7AF9XNF1-H015Y190Y190	Deficient	61
DD203U0221-G1A7AF9XNF1-H015Y190Y190	Deficient	49
DD203U0222-G1A7AF9XNF1-H015Y190Y190	Deficient	73
DD203U0223-G1A7AF9XNF1-H015Y190Y190	Deficient	63
DD203U0224-G1A7AF9XNF1-H015Y190Y190	Intact	43
DD203U0226-G1A7AF9XNF1-H015Y190Y190	Deficient	54
DD203U0228-G1A7AF7XNF1-H015Y190Y190	Deficient	59
DD203U0229-G1A7AF9XNF1-H015Y190Y190	Deficient	41
DD203U0230-G1A7AF9XNF1-H015Y190Y190	Deficient	53
DD203U0231-G1A7AF9XNF1-H015Y190Y190	Deficient	48
DD203U0232-G1A7AF9XNF1-H015Y190Y190	Deficient	56
DD203U0233-G1A7AF9XNF1-H015Y190Y190	Deficient	36
DD203U0234-G1A7AF9XNF1-H015Y190Y190	Deficient	46
DD203U0235-G1A7AF9XNF1-H015Y190Y190	Deficient	41
DD203U0236-G1A7AF9XNF1-H015Y190Y190	Deficient	45
DD203U0238-G1A7AF9XNF1-H015Y190Y190	Deficient	66
DD203U0239-G1A7AF7XNF1-H015Y190Y190	Deficient	76
DD203U0240-G1A7AF8XNF3-H015Y190Y190	Deficient	77
DD203U0241-G1A7AF9XNF1-H015Y190Y190	Deficient	83
DD203U0242-G1A7AF7XNF1-H015Y190Y190	Deficient	89
DD203U0243-G1A7AF9XNF1-H015Y190Y190	Intact	25
DD203U0244-G1A7AF9XNF1-H015Y190Y190	Intact	10
DD203U0245-G1A7AF7XNF1-H015Y190Y190	Intact	3
DD203U0246-G1A7AF7XNF1-H015Y190Y190	Intact	11
DD203U0247-G1A7AF9XNF1-H015Y190Y190	Intact	0
DD203U0250-G1A7AF7XNF1-H015Y190Y190	Intact	3
DD203U0251-G1A7AF9XNF1-H015Y190Y190	Intact	3
DD203U0252-G1A7AF9XNF1-H015Y190Y190	Intact	19
DD203U0253-G1A7AF9XNF1-H015Y190Y190	Intact	1
DD203U0255-G1A7AF9XNF1-H015Y190Y190	Intact	0
DD203U0256-G1A7AF9XNF1-H015Y190Y190	Intact	27
DD203U0257-G1A7AF9XNF1-H015Y190Y190	Intact	4
DD203U0258-G1A7AF9XNF1-H015Y190Y190	Intact	4
DD203U0260-G1A7AF9XNF1-H015Y190Y190	Intact	0
DD203U0262-G1A7AF9XNF1-H015Y190Y190	Intact	13
DD203U0263-G1A7AF9XNF1-H015Y190Y190	Intact	10
DD203U0264-G1A7AF7XNF1-H015Y190Y190	Intact	3
DD203U0265-G1A7AF9XNF1-H015Y190Y190	Intact	9
DD203U0266-G1A7AF9XNF1-H015Y190Y190	Intact	2
DD203U0267-G1A7AF9XNF1-H015Y190Y190	Intact	5
DD203U0268-G1A7AF9XNF1-H015Y190Y190	Intact	0
DD203U0269-G1A7AF9XNF1-H015Y190Y190	Intact	8
DD203U0270-G1A7AF9XNF1-H015Y190Y190	Intact	3
DD203U0271-G1A7AF9XNF1-H015Y190Y190	Intact	7
DD203U0273-G1A7AF9XNF1-H015Y190Y190	Intact	26
DD203U0274-G1A7AF9XNF1-H015Y190Y190	Intact	5
DD203U0275-G1A7AF9XNF1-H015Y190Y190	Intact	18
DD203U0276-G1A7AF9XNF1-H015Y190Y190	Intact	10
DD203U0277-G1A7AF7XNF1-H015Y190Y190	Intact	3
DD203U0278-G1A7AF9XNF1-H015Y190Y190	Intact	5
DD203U0279-G1A7AF7XNF1-H015Y190Y190	Intact	5
DD203U0280-G1A7AF9XNF1-H015Y190Y190	Intact	4
DD203U0281-G1A7AF9XNF1-H015Y190Y190	Intact	5
DD203U0282-G1A7AF9XNF1-H015Y190Y190	Intact	8
DD203U0283-G1A7AF7XNF1-H015Y190Y190	Intact	31
DD203U0286-G1A7AF9XNF1-H015Y190Y190	Intact	39
DD203U0288-G1A7AF9XNF1-H015Y190Y190	Intact	44
DD203U0290-G1A7AF7XNF1-H015Y190Y190	Intact	96
DD203U0291-G1A7AF9XNF1-H015Y190Y190	Intact	62
DD203U0292-G1A7AF9XNF1-H015Y190Y190	Intact	56
DD203U0295-G1A7AF9XNF1-H015Y190Y190	Intact	51
DD203U0298-G1A7AF9XNF1-H015Y190Y190	Intact	30
DD203U0303-G1A7AF9XNF1-H015Y190Y190	Intact	37
DD203U0304-G1A7AF9XNF1-H015Y190Y190	Intact	21
DD203U0307-G1A7AF9XNF1-H015Y190Y190	Intact	46
DD203U0308-G1A7AF9XNF1-H015Y190Y190	Intact	31
DD203U0309-G1A7AF9XNF1-H015Y190Y190	Intact	40
DD203U0310-G1A7AF9XNF1-H015Y190Y190	Intact	52
DD203U0312-G1A7AF9XNF1-H015Y190Y190	Intact	58
DD203U0313-G1A7AF9XNF1-H015Y190Y190	Intact	53
DD203U0314-G1A7AF9XNF1-H015Y190Y190	Intact	43
DD203U0316-G1A7AF9XNF1-H015Y190Y190	Intact	50
DD203U0317-G1A7AF9XNF1-H015Y190Y190	Intact	34
DD203U0318-G1A7AF9XNF1-H015Y190Y190	Intact	12
DD203U0319-G1A7AF9XNF1-H015Y190Y190	Intact	26
DD203U0321-G1A7AF7XNF1-H015Y190Y190	Intact	31
DD203U0322-G1A7AF9XNF1-H015Y190Y190	Intact	24
DD203U0369-G1A7AF9XNF1-H015Y190Y190	Intact	25
DD203U0370-G1A7AF9XNF1-H015Y190Y190	Intact	19
DD205D0354-G1A7AF9XNF1-H015Y190Y190	Intact	37
DD205D0355-G1A7AF6XNF1-H015Y190Y190	Intact	37
DD205D0356-G1A7AF9XNF1-H015Y190Y190	Intact	45
DD205D0357-G1A7AF9XNF1-H015Y190Y190	Intact	51
DD205D0358-G1A7AF9XNF1-H015Y190Y190	Intact	13
DD205D0359-G1A7AF9XNF1-H015Y190Y190	Intact	69
DD205D0360-G1A7AF6XNF1-H015Y190Y190	Intact	87
DD205D0361-G1A7AF9XNF1-H015Y190Y190	Intact	95
DD205D0362-G1A7AF9XNF1-H015Y190Y190	Deficient	80
DD205D0363-G1A7AF6XNF1-H015Y190Y190	Deficient	49
DD205D0364-G1A7AF6XNF1-H015Y190Y190	Intact	35
DD205D0365-G1A7AF9XNF1-H015Y190Y190	Intact	25
DD205D0366-G1A7AF9XNF1-H015Y190Y190	Intact	17
DD205D0367-G1A7AF9XNF1-H015Y190Y190	Deficient	107
DD205D0368-G1A7AF9XNF1-H015Y190Y190	Intact	55
DD205D0369-G1A7AF9XNF1-H015Y190Y190	Intact	10
DD205D0370-G1A7AF6XNF1-H015Y190Y190	Intact	25
DD205D0371-G1A7AF9XNF1-H015Y190Y190	Deficient	49
DD205D0372-G1A7AF9XNF1-H015Y190Y190	Deficient	62
DD205D0373-G1A7AF6XNF1-H015Y190Y190	Deficient	57
DD205D0374-G1A7AF9XNF1-H015Y190Y190	Deficient	54
DD205D0375-G1A7AF6XNF1-H015Y190Y190	Intact	29
DD205D0376-G1A7AF9XNF1-H015Y190Y190	Intact	71
DD205D0377-G1A7AF9XNF1-H015Y190Y190	Intact	36
DD205D0378-G1A7AF9XNF1-H015Y190Y190	Intact	88
DD205D0379-G1A7AF9XNF1-H015Y190Y190	Intact	82
DD205D0380-G1A7AF6XNF1-H015Y190Y190	Intact	80
DD205D0381-G1A7AF9XNF1-H015Y190Y190	Intact	33
DD205D0382-G1A7AF9XNF1-H015Y190Y190	Deficient	70
DD205D0383-G1A7AF9XNF1-H015Y190Y190	Deficient	44
DD205D0384-G1A7AF9XNF1-H015Y190Y190	Intact	85
DD205D0385-G1A7AF6XNF1-H015Y190Y190	Intact	60
DD205D0386-G1A7AF9XNF1-H015Y190Y190	Intact	1
DD205D0387-G1A7AF9XNF1-H015Y190Y190	Deficient	59
DD205D0388-G1A7AF9XNF1-H015Y190Y190	Intact	68
DD205D0389-G1A7AF9XNF1-H015Y190Y190	Intact	83
DD205D0390-G1A7AF9XNF1-H015Y190Y190	Intact	80
DD205D0391-G1A7AF9XNF1-H015Y190Y190	Intact	32
DD205D0392-G1A7AF9XNF1-H015Y190Y190	Intact	21
DD205D0393-G1A7AF8XNF1-H015Y190Y190	Intact	12
DD205D0394-G1A7AF8XNF1-H015Y190Y190	Intact	33
DD205D0395-G1A7AF8XNF1-H015Y190Y190	Intact	15
DD205D0396-G1A7AF8XNF1-H015Y190Y190	Deficient	66
DD205D0397-G1A7AF8XNF1-H015Y190Y190	Deficient	54
DD205D0398-G1A7AF8XNF1-H015Y190Y190	Intact	73
DD205D0399-G1A7AF8XNF1-H015Y190Y190	Intact	18
DD205D0400-G1A7AF8XNF1-H015Y190Y190	Intact	31
DD205D0401-G1A7AF8XNF1-H015Y190Y190	Deficient	62
FB19370172-A3A7AF9XN-A001L000Y190	Deficient	80
FB19380033-A3A7AF8XNF2-A001L000Y190	Deficient	83
FB193C0024-A3A7AF8XNF2-A001L000Y190	Deficient	64
FB193C0154-A3A7AF8XNF2-A008L000Y190	Intact	46
FB193J0124-A3A7AF8XNF2-A001L000Y157Y190	Intact	43
FB193N0180-A3A7AF8XNF2-A001L000Y190	Deficient	75
FB194J0296-A3A7AF8XNF2-A012L000Y190	Intact	95
FB194K0054-A3A7AF8XNF2-A001L000Y190	Deficient	56
FB19500117-A3A7AF8XNF2-A001L000K736Y190	Intact	17
FB195N0447-A3A7AF8XNF2-A012L000Y190	Intact	11
FB19660166-A3A7AF8XNF2-A001L000Y190	Intact	19
FB196B0115-A3A7AF8XNF2-A001L000Y190	Deficient	78
FB196E0049-A3A7AF8XNF2-A001L000Y190	Intact	24
FC19360342-A3A7AF8XNF2-A001L000Y190	Deficient	57
FC193D0379-A3A7AF8XNF2-A001L000Y190	Deficient	67
FC195D0161-A3A7AF8XNF2-A001L000Y157Y190	Deficient	49
FC195F0178-A3A7AF8XNF2-A001L000Y190	Intact	76
FC195G0118-A3A7AF8XNF2-A022L000Y157Y190	Deficient	24
FC19660260-A3A7AF8XNF2-A001L000Y190	Deficient	35
TA195V0029-D2A7AF8XNNX-A001L000Y190	Deficient	86
TA195W0103-D2A7AF8XNNX-A001L000Y190	Deficient	82
TA196S0129-D2A7AF8XNNX-A001L000Y190	Intact	77
TB194L0117-D2A7AF9XNNX-A001L000Y190	Intact	45
